Unnamed: 0	title	filepath	neg_caption	neg_image
71464	A woman is standing on a bridge holding an umbrella.	coco/train2014/COCO_train2014_000000509823.jpg	['A woman is standing on a umbrella holding an bridge .', 'A woman is holding on a bridge standing an umbrella .', 'A woman is standing on a bridge holding a kite.']	[36740, 105858, 59298]
106825	A red tailed airplane up in the blue sky	coco/train2014/COCO_train2014_000000035485.jpg	['the blue sky up in a red tailed airplane', 'A red tailed sky up in the blue airplane', 'A blue tailed airplane up in the red sky', 'A blue tailed airplane soars down in the red sky.']	[41418, 18713, 69166]
86441	a girl skiing down a hill next to an orange fence 	coco/train2014/COCO_train2014_000000211735.jpg	['a hill skiing down a girl next to an orange fence', 'a girl skiing down a hill next to a blue fence.']	[86439, 53754, 45912]
20694	Man holding a baseball bat getting ready to swing.	coco/val2014/COCO_val2014_000000295006.jpg	['Man holding a bat baseball getting ready to swing .', 'Man getting a baseball bat holding ready to swing .', 'A man is holding a tennis racket getting ready to hit a ball.']	[95479, 87700, 105535]
71690	a boy on a skateboard in a town square	coco/train2014/COCO_train2014_000000535655.jpg	['a skateboard on a boy in a town square', 'A boy on a scooter is cruising through a park while a street performer juggles balls.']	[71691, 106223, 61656]
86576	Man in wet suit surfing on a wave.	coco/train2014/COCO_train2014_000000179781.jpg	['Man in wet wave surfing on a suit .', 'A man in a wetsuit is surfing on a giant wave while another man is snorkeling in the background.']	[47969, 108283, 43010]
49834	a girl and boy skier are sitting in the snow 	coco/train2014/COCO_train2014_000000221252.jpg	['a boy and girl skier are sitting in the snow', 'A boy and girl skier are sitting on a snowy mountain.']	[68591, 68587, 68592]
10221	A display case filled with lots of donuts.	coco/val2014/COCO_val2014_000000417044.jpg	['A case display filled with lots of donuts .', 'A display case filled with donuts of lots .', 'A display case filled with lots of pastries.']	[26505, 94471, 97413]
84561	A couple pieces of cake sitting on a plate.	coco/train2014/COCO_train2014_000000440285.jpg	['A couple pieces of plate sitting on a cake .', 'A single piece of cake sits on a plate, surrounded by crumbs.']	[1272, 24423, 76609]
19026	Several people in gear standing in the snow near a mountain.	coco/val2014/COCO_val2014_000000562101.jpg	['Several people in gear standing in the mountain near a snow .', 'Several people are standing in a snowy field near a mountain, each wearing different gear.']	[60715, 101330, 56704]
71026	A man with a ponytail on top of his head.	coco/train2014/COCO_train2014_000000570512.jpg	['A man with a ponytail on head of his top .', 'A man with a ponytail on the side of his head.']	[106221, 87510, 9015]
62371	A man is driving a red fire engine	coco/train2014/COCO_train2014_000000057018.jpg	['A man is driving a red engine fire', 'A man is driving a blue police car while a child is riding on the back.']	[35692, 38597, 12194]
85033	There is a sheep and a dog standing behind a fence	coco/train2014/COCO_train2014_000000039925.jpg	['There is a dog and a sheep standing behind a fence', 'A dog is standing behind a fence while a sheep is barking.']	[8354, 46514, 99928]
58660	A crowd of spectators watch athletes perform on a field.	coco/train2014/COCO_train2014_000000325387.jpg	['A field of spectators watch athletes perform on a crowd .', 'A crowd of athletes watch spectators perform on a field .', 'A group of fans cheer on runners as they compete in a race.']	[28158, 59875, 95218]
85602	The man is sitting in bed drinking from a mug.	coco/train2014/COCO_train2014_000000398124.jpg	['The mug is sitting in bed drinking from a man .', 'The man is drinking in bed sitting from a mug .', 'The man is sitting on the couch drinking from a wine glass.']	[10994, 31142, 56881]
700	a red sign and a clock above a building	coco/val2014/COCO_val2014_000000058915.jpg	['a red building and a clock above a sign', 'A red sign and a clock above a building, with a person walking towards it.']	[68955, 7427, 87749]
42695	A little boy with a multicolored umbrella mugs for the camera.	coco/train2014/COCO_train2014_000000354335.jpg	['a multicolored umbrella mugs with a little boy for the camera.', 'A little boy with a multicolored camera mugs for the umbrella .', 'A little boy with a rainbow-colored umbrella smiles at the camera while holding a kite.']	[32829, 51063, 13813]
36097	A large sliced pizza on a dining table.	coco/train2014/COCO_train2014_000000173777.jpg	['a dining table on a large sliced pizza.', 'A large sliced table on a dining pizza .', 'A sliced large pizza on a dining table .', 'A small sliced pizza on a kitchen counter.']	[22204, 102450, 29930]
80284	A cat sitting in a flower pot with no flowers.	coco/train2014/COCO_train2014_000000338134.jpg	['A flower sitting in a cat pot with no flowers .', 'A cat is sitting in a vase filled with flowers.']	[27797, 83205, 68328]
69807	A man wearing glasses and a green shirt brushes his teeth.	coco/train2014/COCO_train2014_000000578215.jpg	['A shirt wearing glasses and a green man brushes his teeth .', 'A man wearing teeth and a green shirt brushes his glasses .', 'A man wearing a green shirt and glasses brushes his teeth while his pet cat watches.']	[39562, 102481, 1348]
61237	The young man is skate boarding down a busy road.	coco/train2014/COCO_train2014_000000009999.jpg	['a busy road is skate boarding down the young man.', 'The young boarding is skate man down a busy road .', 'The skate man is young boarding down a busy road .', 'The young man is skateboarding up a mountain.']	[64220, 27444, 43600]
92457	Man standing on a skateboard with a person sitting on it. 	coco/train2014/COCO_train2014_000000471473.jpg	['Man standing on a person with a skateboard sitting on it .', 'Man sitting on a skateboard with a person standing on it .', 'A person is standing on a skateboard with another person sitting on it.']	[71650, 86134, 87461]
96863	some people standing around and looking at some planes 	coco/train2014/COCO_train2014_000000579123.jpg	['some planes standing around and looking at some people', 'some people looking around and standing at some planes', 'Some people are standing around and looking at some planes, but now they are all wearing wings.']	[25347, 12820, 108796]
79435	A dog has food at the table in a blue bowl with a fork.	coco/train2014/COCO_train2014_000000265196.jpg	['A bowl has food at the table in a blue dog with a fork .', 'A dog has food in a red bowl with a spoon.']	[66158, 72107, 749]
69583	"bowl of different types of fruit on a table
"	coco/train2014/COCO_train2014_000000254431.jpg	['bowl of different types of table on a fruit \n', 'A bowl of mixed fruit is placed on a table next to a vase of fresh flowers.']	[102150, 108124, 83501]
20072	A woman walking a dog through the woods.	coco/val2014/COCO_val2014_000000511463.jpg	['A dog walking a woman through the woods .', 'A woman is walking a cat through the city.']	[12260, 61537, 46686]
45350	a white and brown cat that is laying down in a red bowl	coco/train2014/COCO_train2014_000000533826.jpg	['a red bowl that is laying down in a white and brown cat', 'a white and brown bowl that is laying down in a red cat', 'a red and brown cat that is laying down in a white bowl', 'A brown cat is sleeping in a blue bowl while a white cat is jumping on it.']	[45349, 104769, 103787]
79281	there is a train that has passed by a train stop	coco/train2014/COCO_train2014_000000298154.jpg	['there is a train that has passed by a stop train', 'A train has passed a train stop where a group of people are waiting.']	[42661, 79300, 6937]
72372	An animal sitting in a suit case filled with clothing.	coco/train2014/COCO_train2014_000000103447.jpg	['An animal sitting in a case suit filled with clothing .', 'A cat is sitting in a suitcase filled with toys.']	[72375, 72374, 92318]
36274	Two females sit behind table in recessed area.	coco/train2014/COCO_train2014_000000033593.jpg	['Two females sit behind area in recessed table .', 'Two males sit behind table in recessed area.']	[20002, 82349, 64056]
67316	three people standing wearing umbrella hats near one another 	coco/train2014/COCO_train2014_000000324315.jpg	['three hats standing wearing umbrella people near one another', 'three people wearing standing umbrella hats near one another', 'Three people are standing near each other, each wearing a different colored umbrella hat.']	[86316, 98176, 21881]
15958	Young man wearing shirt open in front with a tie draped around the collar.	coco/val2014/COCO_val2014_000000446260.jpg	['Young man wearing tie open in front with a shirt draped around the collar .', 'open man wearing shirt Young in front with a tie draped around the collar .', 'A young man is wearing an open shirt with a tie draped around the collar of his jacket.']	[55550, 66434, 100089]
341	A young man standing with luggage next to the tracks	coco/val2014/COCO_val2014_000000356427.jpg	['A young luggage standing with man next to the tracks', 'A young man is standing with a suitcase next to a departing train.']	[41767, 12238, 317]
101701	A kitchen has a sink, microwave, and washer in it.	coco/train2014/COCO_train2014_000000540858.jpg	['A kitchen has a sink , washer , and microwave in it .', 'A kitchen has a sink, dishwasher, and washer in it.']	[43336, 2964, 8979]
30838	A couple of bags of luggage sitting on top of a sidewalk.	coco/train2014/COCO_train2014_000000418677.jpg	['A sidewalk of bags of luggage sitting on top of a couple .', 'A pair of suitcases are stacked on top of a bench.']	[47631, 25560, 18164]
82691	The young girl is typing on the computer.	coco/train2014/COCO_train2014_000000468876.jpg	['The young computer is typing on the girl .', 'The young girl is typing on a smartphone while her brother is playing video games on a computer.']	[6539, 8829, 104572]
70317	An overview shot of a bridge with a railroad underneath it.	coco/train2014/COCO_train2014_000000088339.jpg	"['An shot overview of a bridge with a railroad underneath it .', ""A bird's eye view of a bridge with a train passing underneath it.""]"	[18858, 87127, 77232]
109165	little kids ski around in a snowy ski field 	coco/train2014/COCO_train2014_000000186155.jpg	['little kids snowy around in a ski ski field', 'Little kids ski down a sunny mountain while their parents watch from the sidelines.']	[33934, 13942, 54760]
92272	Man in suit at a podium with a microphone.	coco/train2014/COCO_train2014_000000139263.jpg	['Man in podium at a suit with a microphone .', 'A man in a business suit is giving a presentation to a crowd with a remote microphone.']	[92275, 92274, 92276]
50342	A motorcycle is parked by a wooden bench, and tree stump.	coco/train2014/COCO_train2014_000000436002.jpg	['A bench is parked by a wooden motorcycle , and tree stump .', 'A motorcycle is parked next to a bench, and a tree stump.']	[50343, 50501, 106780]
97451	a male in a white shirt is laying on a red bed	coco/train2014/COCO_train2014_000000039643.jpg	['a male in a red bed is laying on a white shirt', 'a bed in a white shirt is laying on a red male', 'a male in a red shirt is laying on a white bed', 'A male in a blue shirt is swinging on a green hammock.']	[42040, 10994, 64848]
50510	A fire hydrant on a sidewalk in the city. 	coco/train2014/COCO_train2014_000000161083.jpg	['A sidewalk hydrant on a fire in the city .', 'A fire hydrant on a busy street in the city is surrounded by pedestrians.']	[15082, 14376, 6083]
75279	there is a train that is stopped at the station	coco/train2014/COCO_train2014_000000000659.jpg	['there is a station that is stopped at the train', 'a train is stopped at a station while a person is walking towards it.']	[6917, 47488, 42655]
61186	Two small beds tied together with yellow ribbon.	coco/train2014/COCO_train2014_000000515204.jpg	['Two yellow beds tied together with small ribbon .', 'Two small beds are tied together with blue ribbon.']	[22097, 96422, 106444]
